,Date,Total Responden,Total Rating,CSAT [After]
0,2024-03-01,50,184,3.68
1,2024-03-02,42,154,3.67
2,2024-03-03,38,150,3.95
3,2024-03-04,37,147,3.97
4,2024-03-05,51,186,3.65
5,2024-03-06,40,147,3.68
6,2024-03-07,44,176,4.00
7,2024-03-08,38,152,4.00
8,2024-03-09,44,185,4.20
9,2024-03-10,39,152,3.90
10,2024-03-11,43,143,3.33
11,2024-03-12,41,142,3.46
12,2024-03-13,40,143,3.58
13,2024-03-14,42,162,3.86
14,2024-03-15,40,131,3.28
15,2024-03-16,35,121,3.46
16,2024-03-17,37,144,3.89
17,2024-03-18,49,169,3.45
18,2024-03-19,39,143,3.67
19,2024-03-20,47,174,3.70
20,2024-03-21,45,165,3.67
21,2024-03-22,41,160,3.90
22,2024-03-23,43,164,3.81
23,2024-03-24,30,121,4.03
24,2024-03-25,45,176,3.91
25,2024-03-26,30,124,4.13
26,2024-03-27,49,170,3.47
27,2024-03-28,48,213,4.44
28,2024-03-29,44,163,3.70
29,2024-03-30,39,143,3.67
30,2024-03-31,30,115,3.83
31,2024-04-01,43,157,3.65
32,2024-04-02,54,206,3.81
33,2024-04-03,48,183,3.81
34,2024-04-04,45,169,3.76
35,2024-04-05,49,182,3.71
36,2024-04-06,42,148,3.52
37,2024-04-07,35,146,4.17
38,2024-04-08,34,125,3.68
39,2024-04-09,30,109,3.63
40,2024-04-10,28,112,4.00
41,2024-04-11,23,95,4.13
42,2024-04-12,24,101,4.21
43,2024-04-13,31,117,3.77
44,2024-04-14,24,100,4.17
45,2024-04-15,21,81,3.86
46,2024-04-16,32,122,3.81
47,2024-04-17,32,129,4.03
48,2024-04-18,30,125,4.17
49,2024-04-19,30,104,3.47
50,2024-04-20,33,129,3.91
51,2024-04-21,20,73,3.65
52,2024-04-22,23,101,4.39
53,2024-04-23,29,103,3.55
54,2024-04-24,32,133,4.16
55,2024-04-25,30,105,3.50
56,2024-04-26,52,177,3.40
57,2024-04-27,26,99,3.81
58,2024-04-28,26,109,4.19
59,2024-04-29,42,172,4.10
60,2024-04-30,53,194,3.66
61,2024-05-01,69,249,3.61
62,2024-05-02,54,211,3.91
63,2024-05-03,49,188,3.84
64,2024-05-04,39,153,3.92
65,2024-05-05,48,185,3.85
66,2024-05-06,47,207,4.40
67,2024-05-07,39,150,3.85
68,2024-05-08,55,191,3.47
69,2024-05-09,38,146,3.84
70,2024-05-10,36,130,3.61
71,2024-05-11,41,165,4.02
72,2024-05-12,23,97,4.22
73,2024-05-13,37,143,3.86
74,2024-05-14,41,158,3.85
75,2024-05-15,35,152,4.34
76,2024-05-16,34,133,3.91
77,2024-05-17,45,155,3.44
78,2024-05-18,23,78,3.39
79,2024-05-19,37,137,3.70
80,2024-05-20,39,152,3.90
81,2024-05-21,42,174,4.14
82,2024-05-22,41,165,4.02
83,2024-05-23,49,196,4.00
84,2024-05-24,30,129,4.30
85,2024-05-25,42,179,4.26
86,2024-05-26,36,157,4.36
87,2024-05-27,37,132,3.57
88,2024-05-28,38,149,3.92
90,2024-05-30,34,124,3.65
91,2024-05-31,48,184,3.83
92,2024-06-01,54,223,4.13
93,2024-06-02,47,202,4.30
94,2024-06-03,38,126,3.32
95,2024-06-04,39,165,4.23
96,2024-06-05,57,241,4.23
97,2024-06-06,50,197,3.94
98,2024-06-07,54,209,3.87
99,2024-06-08,56,240,4.29
100,2024-06-09,39,170,4.36
101,2024-06-10,54,217,4.02
102,2024-06-11,48,192,4.00
